current_phR,current_phY,current_phB,Fault
17.77952385,-3.425831881,-14.35369197,0
16.85676069,-1.665091561,-15.19166913,0
15.7827834,0.707683366,-16.49046677,0
14.89501319,2.840471232,-17.73548442,0
14.00443974,3.745194472,-17.74963421,0
13.20816241,4.116520741,-17.32468315,0
12.1227993,4.869695943,-16.99249524,0
10.94580008,6.725223126,-17.67102321,0
9.902414701,8.563266373,-18.46568107,0
8.744641205,9.628897293,-18.3735385,0
7.540957181,10.11318574,-17.65414292,0
6.192098276,10.89818704,-17.09028532,0
4.790616656,12.72330033,-17.51391699,0
3.560741896,14.19002625,-17.75076815,0
2.161493957,15.33472329,-17.49621724,0
0.401239949,16.11735057,-16.51859052,0
-2.003884571,17.44301084,-15.43912627,0
-4.026722915,18.58938561,-14.56266269,0
-4.848522166,18.56771632,-13.71919416,0
-5.217101591,18.0541542,-12.8370526,0
-6.0960365,17.75060219,-11.65456569,0
-8.040952497,18.50274032,-10.46178782,0
-9.725209944,19.13199616,-9.406786213,0
-10.65724654,18.92378814,-8.266541599,0
-11.11959814,18.1701685,-7.050570366,0
-12.04653675,17.71974548,-5.673208736,0
-13.92477483,18.16592306,-4.241148232,0
-15.26936772,18.27524951,-3.005881791,0
-16.2767495,17.87764702,-1.600897521,0
-16.93050149,16.74521367,0.185287821,0
-18.18883529,15.58133548,2.607499811,0
-19.26217415,14.69354819,4.568625962,0
-19.17431126,13.88435006,5.289961198,0
-18.55562066,12.94013834,5.61548232,0
-18.2355645,11.68967225,6.545892245,0
-19.0355828,10.46936367,8.566219131,0
-19.53774838,9.371550315,10.16619807,0
-19.25237075,8.19962243,11.05274832,0
-18.45259925,6.978166677,11.47443258,0
-18.12236437,5.58627365,12.53609072,0
-18.50686568,4.133346976,14.3735187,0
-18.52810371,2.846025752,15.68207796,0
-18.05219797,1.371220423,16.68097754,0
-16.82460702,-0.529556809,17.35416383,0
-15.69157136,-2.97667793,18.66824929,0
-14.90398673,-4.786753565,19.6907403,0
-14.08965415,-5.413861129,19.50351528,0
-13.13939687,-5.756289927,18.8956868,0
-11.85344579,-6.834535331,18.68798112,0
-10.67074959,-8.873154932,19.54390453,0
-9.498509898,-10.39019258,19.88870248,0
-8.299207091,-11.16561007,19.46481716,0
-7.088985889,-11.56428499,18.65327088,0
-5.701167602,-12.76091248,18.46208009,0
-4.29097121,-14.57349737,18.86446858,0
-2.992867678,-15.89647313,18.88934081,0
-1.46763005,-16.8249807,18.29261075,0
0.494047896,-17.5120127,17.0179648,0
2.914077935,-18.84106151,15.92698357,0
4.535120978,-19.63240677,15.09728579,0
5.079848951,-19.37570211,14.29585316,0
5.518721665,-18.82942102,13.31069936,0
6.761958409,-18.80773534,12.04577694,0
8.785727152,-19.67156948,10.88584233,0
10.15022461,-19.860441,9.710216382,0
10.84766234,-19.36384823,8.516185897,0
11.23025082,-18.59122058,7.360969756,0
12.54614186,-18.49953534,5.953393486,0
14.3896609,-19.00256451,4.612903609,0
15.66513147,-18.98505532,3.319923856,0
16.48732904,-18.27506815,1.787739115,0
17.14641321,-16.89476175,-0.251651468,0
18.50332336,-15.85413708,-2.64918628,0
19.0786016,-14.97734849,-4.101253112,0
18.74618522,-14.16629432,-4.579890897,0
18.23145343,-13.18711096,-5.04434246,0
18.38524122,-11.96990342,-6.4153378,0
19.24921936,-10.82043431,-8.428785048,0
19.35883065,-9.612006805,-9.746823847,0
18.80717078,-8.431993629,-10.37517715,0
17.99869662,-7.197754264,-10.80094236,0
18.01172676,-5.786244188,-12.22548257,0
18.49514002,-4.456502698,-14.03863733,0
18.50753105,-3.149552637,-15.35797841,0
17.74968996,-1.53104477,-16.21864519,0
16.40484301,0.631304545,-17.03614755,0
15.42847199,3.017850022,-18.44632201,0
14.56902133,4.315388628,-18.88440996,0
13.76260281,4.705771412,-18.46837422,0
12.80174037,5.186881571,-17.98862194,0
11.62335594,6.767617701,-18.39097364,0
10.42646259,8.793111097,-19.21957369,0
9.210048926,10.04486027,-19.2549092,0
7.998784262,10.6294087,-18.62819296,0
6.751887333,11.08877871,-17.84066605,0
5.321931352,12.63694362,-17.95887497,0
4.062063009,14.36954239,-18.4316054,0
2.721973809,15.65620933,-18.37818314,0
1.055822077,16.45967725,-17.51549932,0
-1.198101543,17.42549922,-16.22739767,0
-3.494341834,18.78527607,-15.29093424,0
-4.640353264,19.02551396,-14.3851607,0
-5.028093643,18.59929295,-13.5711993,0
-5.607489283,18.18021074,-12.57272146,0
-7.290326543,18.62539693,-11.33507039,0
-9.270085414,19.49122343,-10.22113802,0
-10.39672312,19.45335787,-9.056634744,0
-10.89831408,18.74602853,-7.847714448,0
-11.42866377,18.01969756,-6.591033793,0
